DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AL,2017,3.2,d
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AL,2018,1.8,d
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AL,2019,1.7,d
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AL,2020,2.2,d
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AL,2021,2.3,d
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AL,2022,6.6,d
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AL,2023,5.3,d
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2012,2.6,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2013,2.1,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2014,1.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2015,0.8,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2016,1,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2017,2.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2018,2.1,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2019,1.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2020,1.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2021,2.8,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2022,8.6,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,AT,2023,7.7,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,BE,2012,2.6,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,BE,2013,1.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,BE,2014,0.5,
