,Position,Edge,Path,Total
0,713,255,35,1003
1,721,245,37,1003
2,721,243,37,1001
3,720,242,37,999
4,718,244,37,999
5,716,242,37,995
6,719,240,37,996
7,719,240,37,996
8,718,239,37,994
9,719,237,38,994
10,716,239,38,993
11,715,240,38,993
12,711,241,38,990
13,707,242,38,987
14,707,240,38,985
15,711,240,38,989
16,711,241,38,990
17,708,242,38,988
18,704,242,39,985
19,701,244,39,984
20,702,246,39,987
21,704,244,39,987
22,705,243,39,987
23,706,241,39,986
24,700,244,39,983
25,698,246,39,983
26,700,247,38,985
27,697,248,38,983
28,700,245,38,983
29,701,244,38,983
30,700,241,38,979
31,704,239,41,984
32,704,237,41,982
33,704,234,41,979
34,697,235,41,973
35,695,236,41,972
36,694,239,43,976
37,692,239,43,974
38,690,240,43,973
39,688,242,43,973
40,689,241,41,971
41,690,241,40,971
42,693,239,40,972
43,694,239,40,973
44,693,240,40,973
45,694,238,40,972
46,692,239,40,971
47,694,236,40,970
48,694,235,40,969
49,689,235,40,964
50,691,236,39,966
51,689,237,39,965
52,689,236,39,964
53,684,239,39,962
54,682,242,39,963
55,685,239,39,963
56,692,240,41,973
57,694,237,41,972
58,693,236,41,970
59,690,237,44,971
60,685,237,43,965
61,684,237,43,964
62,680,237,43,960
63,680,236,42,958
64,678,238,43,959
65,684,234,43,961
66,686,232,43,961
67,692,230,43,965
68,682,231,43,956
69,680,232,43,955
70,681,229,44,954
71,683,227,44,954
72,682,229,45,956
73,685,226,45,956
74,682,226,45,953
75,680,223,45,948
76,677,223,45,945
77,677,222,45,944
78,672,224,44,940
79,667,228,44,939
80,668,227,44,939
81,668,226,44,938
82,670,224,44,938
83,669,220,44,933
84,667,221,44,932
85,663,222,43,928
86,665,221,43,929
87,664,220,43,927
88,664,219,43,926
89,665,218,39,922
90,665,218,37,920
91,665,218,37,920
92,663,218,37,918
93,660,218,37,915
94,661,217,37,915
95,667,217,37,921
96,667,217,37,921
97,666,218,37,921
98,668,218,37,923
99,667,219,37,923
100,667,218,37,922
101,661,217,36,914
102,660,218,36,914
103,660,219,36,915
104,663,218,36,917
105,659,220,36,915
106,653,222,35,910
107,656,219,35,910
108,653,221,36,910
109,650,218,37,905
110,646,220,37,903
111,645,219,37,901
112,643,220,37,900
113,642,221,37,900
114,642,221,37,900
115,640,221,37,898
116,636,222,37,895
117,636,220,37,893
118,631,218,34,883
119,631,219,34,884
120,629,220,34,883
121,631,218,33,882
122,632,219,33,884
123,634,218,33,885
124,632,218,35,885
125,627,217,33,877
126,625,217,33,875
127,621,215,33,869
128,619,214,33,866
129,617,210,33,860
130,622,205,32,859
