,Position,Edge,Path,Total
0,583,175,27,785
1,580,177,28,785
2,576,180,29,785
3,574,179,29,782
4,568,179,29,776
5,567,179,28,774
6,568,177,28,773
7,564,177,28,769
8,565,174,28,767
9,562,177,28,767
10,560,178,28,766
11,563,175,28,766
12,559,175,28,762
13,558,174,28,760
14,557,170,28,755
15,557,168,28,753
16,553,169,28,750
17,553,168,28,749
18,551,169,28,748
19,554,166,28,748
20,553,165,28,746
21,551,167,28,746
22,546,166,29,741
23,545,164,29,738
24,546,161,28,735
25,547,160,28,735
26,547,160,28,735
27,546,160,27,733
28,545,159,27,731
29,545,158,26,729
30,543,161,26,730
31,543,160,25,728
32,542,160,25,727
33,542,157,25,724
34,538,159,25,722
35,533,161,25,719
36,532,158,26,716
37,531,156,26,713
38,530,156,26,712
39,528,155,26,709
40,522,155,26,703
41,522,156,25,703
42,524,155,24,703
43,521,155,24,700
44,518,158,23,699
45,516,154,23,693
46,521,151,23,695
47,522,151,23,696
48,523,154,23,700
49,523,153,22,698
50,523,153,21,697
51,522,147,22,691
52,519,146,22,687
53,520,144,22,686
54,520,142,22,684
55,519,141,22,682
56,516,142,22,680
57,525,141,23,689
58,523,139,23,685
59,522,140,24,686
60,519,139,24,682
61,520,136,24,680
62,516,141,25,682
63,513,140,25,678
64,515,135,25,675
65,515,133,24,672
66,514,133,24,671
67,513,135,23,671
68,512,135,24,671
69,519,129,22,670
70,517,128,22,667
71,518,127,22,667
72,524,125,23,672
73,527,123,21,671
74,526,121,21,668
75,522,120,22,664
76,520,119,22,661
77,519,119,22,660
78,515,118,22,655
79,518,115,22,655
80,515,115,22,652
81,515,114,20,649
82,510,109,20,639
83,509,109,20,638
84,510,110,19,639
85,512,108,19,639
86,515,105,18,638
87,518,104,17,639
88,517,102,17,636
89,512,103,16,631
90,512,102,15,629
91,509,103,15,627
92,507,106,15,628
93,502,107,15,624
94,506,102,15,623
95,502,99,15,616
96,501,97,15,613
97,493,100,18,611
98,493,99,19,611
99,491,99,19,609
100,491,99,19,609
101,493,97,19,609
102,489,97,20,606
103,489,97,20,606
104,485,98,20,603
105,481,100,20,601
106,482,100,20,602
107,484,98,20,602
108,479,101,20,600
109,477,100,20,597
110,477,99,20,596
111,477,99,18,594
112,473,99,19,591
113,471,100,19,590
114,470,100,18,588
115,471,97,18,586
116,469,97,18,584
117,469,96,18,583
118,467,97,18,582
119,465,95,18,578
120,462,95,18,575
121,461,96,18,575
122,458,98,18,574
123,456,100,18,574
124,456,101,18,575
125,452,100,19,571
126,449,100,19,568
127,446,96,18,560
128,446,96,18,560
129,446,97,17,560
130,442,99,17,558
131,440,98,18,556
132,444,97,18,559
133,442,99,18,559
134,442,99,17,558
135,439,99,17,555
136,437,100,16,553
137,434,101,16,551
138,431,102,16,549
139,429,101,16,546
140,427,100,16,543
141,424,101,16,541
142,424,101,16,541
143,421,104,14,539
144,416,106,14,536
145,416,105,13,534
146,415,104,12,531
147,414,103,12,529
148,411,103,11,525
149,405,107,13,525
150,402,109,13,524
151,401,109,13,523
152,402,108,13,523
153,402,106,13,521
154,402,104,14,520
155,401,104,14,519
156,400,104,14,518
157,396,105,14,515
158,396,104,14,514
159,396,103,14,513
160,394,104,14,512
161,391,106,14,511
162,392,103,14,509
163,391,101,14,506
164,394,100,13,507
165,391,99,13,503
166,390,97,13,500
167,389,96,13,498
168,390,97,13,500
169,390,94,13,497
170,389,92,13,494
171,383,92,12,487
172,382,92,12,486
173,380,89,12,481
174,376,89,13,478
175,372,89,14,475
176,362,89,15,466
177,361,88,14,463
178,360,89,14,463
179,356,86,14,456
180,356,88,13,457
181,356,87,13,456
182,352,88,12,452
183,351,88,12,451
184,351,89,12,452
185,348,91,12,451
186,349,90,12,451
187,349,88,12,449
188,350,87,12,449
189,349,87,12,448
190,347,88,12,447
191,346,88,12,446
192,346,85,12,443
193,345,85,12,442
194,341,87,12,440
195,345,83,12,440
196,339,84,13,436
197,341,83,13,437
198,344,82,13,439
199,342,80,13,435
200,344,77,13,434
201,342,76,13,431
202,338,74,14,426
203,339,72,14,425
204,339,69,14,422
205,341,68,14,423
206,340,68,14,422
207,337,66,14,417
208,336,66,14,416
209,332,64,14,410
210,328,66,14,408
211,326,65,14,405
212,325,62,14,401
213,323,62,14,399
214,322,61,14,397
215,316,61,14,391
216,313,62,14,389
217,310,61,14,385
218,309,60,14,383
219,308,60,14,382
220,306,61,14,381
221,306,62,14,382
222,307,60,12,379
223,307,57,12,376
224,307,53,13,373
225,306,53,12,371
226,304,54,13,371
227,302,56,13,371
228,301,56,13,370
229,295,59,12,366
230,293,59,12,364
231,290,58,12,360
232,293,60,10,363
233,293,58,10,361
234,291,60,10,361
235,291,59,11,361
236,291,58,11,360
237,289,57,10,356
238,291,55,10,356
239,291,49,10,350
240,289,48,10,347
241,289,47,11,347
242,290,47,11,348
243,287,47,11,345
244,279,49,11,339
245,278,49,11,338
246,275,47,10,332
247,274,47,10,331
248,270,47,12,329
249,271,48,12,331
250,273,49,11,333
251,273,49,11,333
252,272,48,11,331
253,274,47,12,333
