,Position,Edge,Path,Total
0,242,160,54,456
1,242,160,54,456
2,241,162,54,457
3,235,164,54,453
4,232,167,54,453
5,232,166,54,452
6,231,168,53,452
7,230,169,50,449
8,228,171,50,449
9,226,169,51,446
10,219,175,51,445
11,223,172,51,446
12,218,171,52,441
13,215,170,52,437
14,217,175,52,444
15,218,174,51,443
16,221,174,48,443
17,219,171,48,438
18,221,165,42,428
19,214,168,40,422
20,226,157,39,422
21,226,153,41,420
22,231,155,33,419
23,231,155,33,419
24,234,152,36,422
25,241,147,30,418
26,238,145,33,416
27,235,147,33,415
28,228,156,33,417
29,233,148,33,414
30,235,139,32,406
31,232,134,32,398
32,231,134,32,397
33,238,142,29,409
34,241,136,29,406
35,238,135,29,402
36,233,134,30,397
37,233,135,26,394
38,231,133,26,390
39,231,131,26,388
40,230,133,26,389
41,225,133,27,385
42,221,130,30,381
43,217,133,30,380
44,212,138,30,380
45,207,140,30,377
46,203,139,30,372
47,201,134,30,365
48,202,133,30,365
49,195,135,30,360
50,200,126,30,356
51,197,130,28,355
52,193,127,28,348
53,187,122,28,337
54,191,121,28,340
55,190,120,27,337
56,190,118,27,335
57,178,123,29,330
58,172,122,29,323
59,168,118,29,315
60,173,117,27,317
61,172,117,26,315
62,169,123,26,318
63,166,119,26,311
64,167,113,24,304
65,166,113,24,303
66,165,112,24,301
67,167,115,20,302
68,159,109,21,289
69,161,108,19,288
70,160,106,19,285
71,160,102,20,282
72,155,96,20,271
73,160,96,19,275
74,157,96,18,271
75,157,97,20,274
76,151,93,23,267
77,152,90,23,265
78,147,88,26,261
79,136,88,28,252
80,135,90,28,253
81,141,91,22,254
82,142,87,22,251
83,137,92,22,251
84,149,95,21,265
85,154,93,17,264
86,149,94,14,257
87,144,93,17,254
88,143,93,16,252
89,142,86,17,245
90,142,83,19,244
91,138,82,19,239
92,137,81,21,239
93,137,80,21,238
94,135,80,21,236
95,131,77,22,230
96,131,75,21,227
97,130,74,21,225
98,134,72,21,227
99,141,77,20,238
100,141,75,21,237
101,140,75,21,236
102,140,70,22,232
103,139,70,22,231
104,127,65,26,218
105,124,63,22,209
106,112,64,19,195
107,109,64,19,192
108,116,66,14,196
109,115,68,12,195
110,117,67,12,196
111,114,67,11,192
112,115,67,11,193
113,113,63,12,188
114,113,62,11,186
115,111,63,10,184
116,112,62,11,185
117,106,63,11,180
118,103,57,12,172
119,99,52,12,163
120,98,48,12,158
121,101,46,10,157
122,97,48,10,155
123,97,42,10,149
124,102,39,11,152
125,101,39,11,151
126,99,39,12,150
127,98,35,11,144
128,101,39,10,150
129,97,41,9,147
130,96,41,9,146
131,95,41,9,145
132,95,41,8,144
133,94,41,8,143
134,93,41,9,143
135,91,37,5,133
136,89,32,5,126
137,89,32,4,125
138,86,32,4,122
139,83,30,4,117
140,86,24,5,115
141,81,23,6,110
142,75,23,5,103
143,69,19,5,93
144,68,19,5,92
145,67,19,9,95
146,66,19,8,93
147,66,12,8,86
148,58,10,13,81
149,53,8,13,74
150,53,4,17,74
151,52,4,17,73
152,51,4,19,74
153,50,4,14,68
154,49,4,14,67
155,48,2,14,64
156,48,2,15,65
157,48,1,21,70
158,46,1,17,64
159,45,1,17,63
160,44,1,17,62
161,43,1,16,60
162,42,1,16,59
163,41,1,16,58
164,40,1,16,57
165,38,1,17,56
166,39,2,16,57
167,38,2,16,56
168,36,2,16,54
169,35,3,15,53
170,36,2,14,52
171,36,2,13,51
172,35,2,13,50
173,31,2,13,46
174,33,2,11,46
175,33,2,10,45
176,32,2,10,44
177,30,1,9,40
178,29,1,9,39
179,28,1,9,38
180,25,1,9,35
181,24,1,8,33
182,23,0,8,31
183,22,0,8,30
184,21,0,8,29
185,20,0,8,28
186,19,0,8,27
187,16,0,8,24
188,15,0,8,23
189,13,0,6,19
190,13,0,7,20
191,11,0,7,18
192,10,0,7,17
193,9,0,7,16
194,7,0,7,14
195,6,0,7,13
196,4,0,7,11
197,4,0,6,10
198,4,0,6,10
199,3,0,6,9
200,3,0,5,8
201,3,0,4,7
202,3,0,2,5
203,2,0,2,4
204,1,0,2,3
