,Position,Edge,Path,Total
0,616,344,74,1034
1,613,342,75,1030
2,613,344,74,1031
3,615,341,74,1030
4,613,341,74,1028
5,600,340,78,1018
6,594,338,79,1011
7,590,336,80,1006
8,591,336,79,1006
9,589,336,79,1004
10,591,329,79,999
11,592,326,82,1000
12,593,324,82,999
13,585,324,81,990
14,584,328,79,991
15,576,325,82,983
16,577,325,82,984
17,580,325,81,986
18,579,326,81,986
19,581,322,82,985
20,581,324,81,986
21,582,322,82,986
22,576,328,78,982
23,573,328,79,980
24,565,320,84,969
25,564,321,82,967
26,552,315,86,953
27,552,320,84,956
28,550,319,84,953
29,536,313,88,937
30,543,312,87,942
31,540,312,87,939
32,535,305,87,927
33,539,307,83,929
34,530,301,84,915
35,530,300,86,916
36,519,294,88,901
37,517,295,87,899
38,511,291,89,891
39,516,285,88,889
40,514,286,89,889
41,504,284,88,876
42,495,282,90,867
43,494,282,90,866
44,486,280,91,857
45,478,279,91,848
46,475,280,89,844
47,483,282,83,848
48,484,284,83,851
49,482,283,86,851
50,468,282,86,836
51,470,285,85,840
52,468,284,86,838
53,464,282,86,832
54,460,275,87,822
55,454,268,90,812
56,451,269,91,811
57,447,262,90,799
58,441,262,90,793
59,437,263,91,791
60,436,259,94,789
61,434,261,92,787
62,429,261,91,781
63,427,260,92,779
64,425,257,91,773
65,422,256,92,770
66,415,250,96,761
67,407,246,99,752
68,407,243,99,749
69,410,243,98,751
70,410,248,98,756
71,408,248,98,754
72,407,245,99,751
73,407,242,99,748
74,407,242,99,748
75,405,239,99,743
76,403,239,99,741
77,400,241,99,740
78,407,241,97,745
79,407,240,96,743
80,418,232,97,747
81,415,228,94,737
82,413,225,93,731
83,416,227,90,733
84,410,234,90,734
85,407,234,89,730
86,411,235,90,736
87,409,236,88,733
88,406,237,88,731
89,401,237,86,724
90,401,235,85,721
91,398,235,84,717
92,392,231,85,708
93,386,225,80,691
94,392,228,75,695
95,390,226,74,690
96,389,226,74,689
97,391,223,74,688
98,390,224,73,687
99,394,226,72,692
100,406,227,66,699
101,409,227,65,701
102,407,227,64,698
103,405,219,66,690
104,407,221,65,693
105,405,220,65,690
106,407,218,65,690
107,396,219,65,680
108,395,219,65,679
109,400,216,63,679
110,399,216,63,678
111,398,215,62,675
112,406,215,60,681
113,403,219,59,681
114,402,213,59,674
115,404,211,58,673
116,407,210,57,674
117,405,210,58,673
118,395,201,58,654
119,394,203,57,654
120,393,203,57,653
121,390,205,57,652
122,388,206,56,650
123,396,207,52,655
124,392,210,52,654
125,395,207,52,654
126,390,201,52,643
127,392,202,52,646
128,395,199,52,646
129,396,200,49,645
130,389,195,49,633
131,388,195,49,632
132,393,195,49,637
133,390,192,49,631
134,385,191,51,627
135,382,193,51,626
136,390,201,48,639
137,390,199,48,637
138,391,199,48,638
139,391,194,48,633
140,388,186,48,622
141,373,187,47,607
142,372,188,49,609
143,365,186,49,600
144,366,185,48,599
145,364,185,48,597
146,352,182,47,581
147,352,183,47,582
148,351,183,47,581
149,350,185,47,582
150,341,189,46,576
151,340,189,46,575
152,335,185,49,569
153,331,182,49,562
154,334,181,49,564
155,336,180,50,566
156,330,182,50,562
157,345,183,46,574
158,340,179,45,564
159,344,182,42,568
160,342,180,44,566
161,337,179,44,560
162,335,179,44,558
163,334,179,44,557
164,341,177,41,559
165,333,173,41,547
166,334,168,43,545
167,337,168,42,547
168,335,159,43,537
169,338,161,40,539
170,337,160,40,537
171,330,156,41,527
172,324,155,41,520
173,323,155,41,519
174,321,157,41,519
175,318,155,42,515
176,313,156,42,511
177,316,153,42,511
178,315,153,42,510
179,312,154,40,506
180,308,156,40,504
181,306,156,40,502
182,306,156,39,501
