,Position,Edge,Path,Total
0,1050,294,40,1384
1,1046,297,39,1382
2,1042,299,39,1380
3,1050,294,38,1382
4,1043,294,40,1377
5,1043,292,40,1375
6,1035,295,39,1369
7,1034,298,38,1370
8,1028,296,38,1362
9,1026,296,38,1360
10,1023,302,38,1363
11,1028,295,38,1361
12,1029,293,38,1360
13,1028,291,36,1355
14,1021,293,35,1349
15,1021,291,35,1347
16,1019,291,35,1345
17,1017,291,35,1343
18,1018,288,34,1340
19,1015,288,34,1337
20,1016,287,34,1337
21,1019,288,35,1342
22,1020,288,35,1343
23,1019,288,38,1345
24,1020,290,36,1346
25,1018,292,36,1346
26,1015,294,36,1345
27,1010,295,36,1341
28,1008,295,36,1339
29,1008,296,34,1338
30,1009,293,34,1336
31,1005,298,35,1338
32,1003,296,35,1334
33,1005,294,35,1334
34,1007,293,36,1336
35,1005,294,36,1335
36,1008,295,36,1339
37,1010,294,36,1340
38,1004,295,37,1336
39,1003,294,37,1334
40,1003,290,37,1330
41,1001,291,37,1329
42,997,290,37,1324
43,996,289,38,1323
44,999,285,38,1322
45,998,285,38,1321
46,997,283,38,1318
47,993,286,38,1317
48,991,284,37,1312
49,988,284,37,1309
50,985,284,37,1306
51,986,281,37,1304
52,985,281,37,1303
53,987,280,37,1304
54,983,281,40,1304
55,980,283,40,1303
56,982,283,38,1303
57,982,281,38,1301
58,981,283,38,1302
59,976,283,40,1299
60,975,283,40,1298
61,977,281,39,1297
62,976,281,39,1296
63,976,282,38,1296
64,975,282,40,1297
65,974,282,40,1296
66,971,283,40,1294
67,971,279,39,1289
68,967,282,39,1288
69,961,282,39,1282
70,959,283,39,1281
71,955,285,39,1279
72,953,287,39,1279
73,947,286,40,1273
74,945,287,40,1272
75,943,288,40,1271
76,943,288,37,1268
77,949,284,36,1269
78,944,287,36,1267
79,943,286,36,1265
80,946,282,36,1264
81,946,281,36,1263
82,947,278,34,1259
83,950,275,33,1258
84,948,277,33,1258
85,943,277,34,1254
86,944,275,33,1252
87,943,275,33,1251
88,939,276,33,1248
89,931,282,33,1246
90,936,278,34,1248
91,937,276,34,1247
92,938,274,34,1246
93,937,275,34,1246
94,945,268,34,1247
95,949,264,34,1247
96,947,267,34,1248
97,940,271,32,1243
98,941,268,32,1241
99,941,267,32,1240
100,940,266,32,1238
101,939,267,31,1237
102,940,266,31,1237
103,934,271,31,1236
104,934,273,31,1238
105,935,270,31,1236
106,935,271,32,1238
107,933,271,35,1239
108,932,273,35,1240
109,931,273,35,1239
110,937,272,33,1242
111,938,269,33,1240
112,941,268,30,1239
113,945,265,30,1240
114,946,262,29,1237
115,947,261,29,1237
116,948,259,29,1236
117,943,260,29,1232
118,938,264,29,1231
119,933,266,29,1228
120,927,269,29,1225
121,925,269,30,1224
122,923,271,29,1223
123,921,272,30,1223
124,920,273,29,1222
125,916,275,30,1221
126,920,274,29,1223
127,915,277,29,1221
128,915,276,29,1220
129,914,276,29,1219
130,914,275,29,1218
131,921,274,28,1223
132,922,272,28,1222
133,919,273,28,1220
134,913,276,32,1221
135,913,276,32,1221
136,913,275,32,1220
137,912,273,33,1218
138,907,276,33,1216
139,908,273,35,1216
140,901,278,35,1214
141,898,278,34,1210
142,899,274,34,1207
143,897,274,33,1204
144,892,276,32,1200
145,889,275,32,1196
146,892,274,32,1198
147,893,273,31,1197
148,893,271,31,1195
149,895,268,31,1194
150,892,268,32,1192
151,889,269,32,1190
152,886,270,32,1188
153,884,267,32,1183
154,878,268,32,1178
155,874,271,32,1177
156,873,271,32,1176
157,875,269,33,1177
158,879,270,33,1182
159,881,270,32,1183
160,878,270,32,1180
161,875,272,29,1176
162,874,273,29,1176
163,872,274,29,1175
164,871,275,29,1175
165,870,275,29,1174
166,867,275,29,1171
167,859,277,29,1165
168,859,273,28,1160
169,852,273,29,1154
170,851,273,28,1152
171,849,272,28,1149
172,850,269,28,1147
173,847,270,26,1143
174,846,269,26,1141
175,844,268,26,1138
176,842,267,26,1135
177,843,265,26,1134
178,842,261,26,1129
179,840,261,26,1127
180,842,259,26,1127
181,840,262,25,1127
182,835,266,24,1125
183,831,268,24,1123
184,833,265,24,1122
185,834,262,24,1120
186,832,263,23,1118
187,836,259,22,1117
188,837,258,22,1117
189,841,258,22,1121
190,840,258,22,1120
191,838,258,22,1118
192,837,256,22,1115
193,836,254,21,1111
